"Story","Title","Result","Date","Stability","Duration (s)"
"Log in para usuarios","Log in de usuario exitoso","SUCCESS","2022-03-26T21:11:06.9925111-05:00[America/Bogota]","0.0","35.65"
"Log in para usuarios","Log in de usuario fallido por contrasena incorrecta","SUCCESS","2022-03-26T21:11:45.0596507-05:00[America/Bogota]","0.0","46.84"
